Census,pop,power converted,actual power,census_lat,census_long,Socioeconomic,Household Composition & Disability,Minority Status & Language,Housing Type & Transportation,SVI,disadvantaged,d,Bus,Latitude,Longitude
48215023000,5289,12.71,13.36306123,26.14203393,-97.89170415,0.7072,0.96,0.8168,0.6605,0.8464,1,9,4019,26.148831,-97.831112
48061011902,5023,12.07,12.69017695,26.14729272,-97.82064325,0.862,0.7483,0.815,0.5059,0.7988,1,9,4019,26.148831,-97.831112
48479000106,3688,8.86,9.315241737,27.48501246,-99.4671183,0.7002,0.743,0.9956,0.4734,0.7598,1,9,4019,26.148831,-97.831112
48355001902,8578,20.61,22.41622904,27.72099478,-97.42702749,0.5506,0.3741,0.6123,0.3641,0.4764,0,10,4020,27.65787,-97.479816
48355001701,6889,16.55,18.00041682,27.75369004,-97.44541348,0.8307,0.859,0.6844,0.7366,0.8481,1,10,4020,27.65787,-97.479816
48355005602,6657,15.99,17.39133927,27.78520102,-97.65789476,0.9917,0.9979,0.8202,0.8488,0.9937,1,10,4020,27.65787,-97.479816
48355005601,6109,14.68,15.96653287,27.81048391,-97.66382028,0.868,0.9678,0.7401,0.9102,0.9579,1,10,4020,27.65787,-97.479816
48355002304,5255,12.63,13.73687398,27.7094246,-97.41559634,0.4567,0.4649,0.5968,0.7861,0.5989,0,10,4020,27.65787,-97.479816
48355000800,3983,9.57,10.40870024,27.76402145,-97.49891088,0.7718,0.6575,0.526,0.9902,0.8758,1,10,4020,27.65787,-97.479816
48355005409,3829,9.2,10.006274,27.6771393,-97.41568848,0.0487,0.2002,0.4912,0.0698,0.0874,0,10,4020,27.65787,-97.479816
48355005406,3782,9.09,9.88663377,27.64883604,-97.47678089,0.2537,0.3434,0.398,0.5333,0.3447,0,10,4020,27.65787,-97.479816
48215024403,6394,15.36,13.66753576,26.30063701,-97.99333204,0.9781,0.9866,0.9097,0.5097,0.9507,1,11,4021,26.374541,-97.98028
48215024404,4097,9.84,8.755765099,26.33298101,-98.0079814,0.8035,0.8355,0.9606,0.4965,0.8289,1,11,4021,26.374541,-97.98028
48479001003,2975,7.15,6.362166713,27.50276207,-99.45720671,0.7895,0.6041,0.9614,0.7988,0.8585,1,11,4021,26.374541,-97.98028
48215024302,1490,3.58,3.185532424,26.42195333,-97.98030434,0.9994,0.9983,0.9552,0.4786,0.9796,1,11,4021,26.374541,-97.98028
48215020503,11376,27.33,29.69589421,26.15935487,-98.26660636,0.9054,0.8169,0.9822,0.5285,0.8856,1,12,4027,26.162344,-98.2487
48215020504,8411,20.21,21.95953245,26.18358723,-98.26190584,0.9321,0.9615,0.9931,0.5473,0.9372,1,12,4027,26.162344,-98.2487
48215020501,5157,12.39,13.46257334,26.20129452,-98.26249127,0.9332,0.9374,0.9528,0.9294,0.9864,1,12,4027,26.162344,-98.2487
48273020300,7919,19.03,20.55226507,27.52794229,-97.8793924,0.9192,0.2634,0.5478,0.9871,0.8608,1,13,4032,27.444204,-97.865597
48273020500,7321,17.59,18.99707528,27.48939234,-97.84237544,0.7749,0.7815,0.4916,0.8337,0.7876,0,13,4032,27.444204,-97.865597
48273020400,6402,15.38,16.61029095,27.49754872,-97.87380705,0.5014,0.6154,0.4218,0.8423,0.6221,0,13,4032,27.444204,-97.865597
48273020100,5312,12.76,13.78070952,27.43210588,-97.7244299,0.573,0.4124,0.5096,0.8905,0.653,1,13,4032,27.444204,-97.865597
48479001816,5062,12.16,13.13271378,27.53171015,-99.3915208,0.8284,0.58,0.9281,0.4002,0.7362,1,13,4032,27.444204,-97.865597
48249950700,3205,7.7,8.315945403,27.36337648,-98.14495648,0.8392,0.5081,0.7163,0.5471,0.7199,1,13,4032,27.444204,-97.865597
48505950301,4497,10.8,37.641,26.91759675,-99.26682127,0.9152,0.8154,0.9977,0.6806,0.9261,1,14,4034,26.111189,-98.241746
48355003601,6476,15.56,16.92887795,27.84289339,-97.6007197,0.5254,0.6441,0.4725,0.7499,0.6169,0,15,4035,27.838247,-97.596306
48355005801,6456,15.51,16.87447925,27.8725708,-97.66796567,0.0839,0.4007,0.2014,0.5649,0.2437,0,15,4035,27.838247,-97.596306
48355003602,6220,14.94,16.25433397,27.82972619,-97.58314175,0.3207,0.7455,0.4757,0.5364,0.475,0,15,4035,27.838247,-97.596306
48355003603,4870,11.7,12.72929769,27.81316564,-97.56052744,0.3802,0.7824,0.3621,0.6472,0.5265,0,15,4035,27.838247,-97.596306
48355003700,3406,8.18,8.899628642,27.86735723,-97.61678172,0.4193,0.6074,0.351,0.633,0.491,0,15,4035,27.838247,-97.596306
48409011100,2861,6.87,7.47438249,27.94499499,-97.58589187,0.6624,0.9242,0.6748,0.6376,0.7665,1,15,4035,27.838247,-97.596306
48409011000,6646,15.97,17.18585013,28.02633163,-97.49215087,0.758,0.8539,0.6507,0.9622,0.908,1,16,4037,28.121597,-97.553013
48025950600,2396,5.76,6.198528288,28.21872661,-97.67839087,0.8211,0.5861,0.5983,0.4556,0.6701,1,16,4037,28.121597,-97.553013
48029192100,2064,4.96,5.337621581,29.40840581,-98.49384738,0.1817,0.4287,0.5222,0.5966,0.3829,0,16,4037,28.121597,-97.553013
48025950201,8353,20.07,19.97743195,28.32487132,-97.55432226,0.7557,0.0276,0.5388,0.816,0.5426,1,17,4038,28.407712,-97.71062
48025950500,6380,15.33,15.25929406,28.39155631,-97.74164903,0.8843,0.8577,0.545,0.8836,0.8938,1,17,4038,28.407712,-97.71062
48025950202,6120,14.7,14.63219978,28.4247529,-97.74554851,0.6427,0.724,0.3598,0.9135,0.7202,1,17,4038,28.407712,-97.71062
48025950300,5509,13.24,13.17893368,28.42070602,-97.75445104,0.7476,0.9261,0.5103,0.8732,0.8445,1,17,4038,28.407712,-97.71062
48029130300,3347,8.04,8.002917433,29.40730797,-98.46720602,0.7121,0.7809,0.8946,0.4439,0.7318,1,17,4038,28.407712,-97.71062
48025950400,2171,5.22,5.195924005,28.40293815,-97.75967116,0.8732,0.8475,0.5088,0.9033,0.8869,1,17,4038,28.407712,-97.71062
48029140200,2951,7.09,7.05729908,29.39619708,-98.48105401,0.677,0.5905,0.7402,0.7215,0.7229,1,18,4038,28.407712,-97.71062
48215024106,12791,30.73,33.5151708,26.26327871,-98.2898453,0.8087,0.5237,0.8321,0.6004,0.7558,1,19,4040,26.228735,-98.376166
48215024110,11272,27.08,29.53435813,26.26724949,-98.34601672,0.9822,0.77,0.9573,0.7619,0.9485,1,19,4040,26.228735,-98.376166
48215020302,10120,24.31,26.51330303,26.22779599,-98.31152677,0.7183,0.8699,0.8525,0.5304,0.7834,0,19,4040,26.228735,-98.376166
48215020204,9308,22.36,24.38656749,26.23621314,-98.33473918,0.8948,0.7328,0.93,0.4669,0.8276,1,19,4040,26.228735,-98.376166
48215020201,8322,19.99,21.80176584,26.23762775,-98.38491259,0.9344,0.792,0.9663,0.6493,0.9128,1,19,4040,26.228735,-98.376166
48215020202,6921,16.63,18.13723691,26.23349519,-98.35855279,0.9229,0.9194,0.9885,0.6741,0.9439,1,19,4040,26.228735,-98.376166
48215020101,6820,16.39,17.87548485,26.208977,-98.33901215,0.9942,0.9898,0.9671,0.9768,1,1,19,4040,26.228735,-98.376166
48215020404,5703,13.7,14.94168044,26.20411757,-98.29494943,0.697,0.9916,0.7117,0.5181,0.8141,1,19,4040,26.228735,-98.376166
48215020205,5699,13.69,14.9307741,26.22129848,-98.33675136,0.9772,0.9517,0.9296,0.7888,0.9768,1,19,4040,26.228735,-98.376166
48215020403,5030,12.08,13.17485399,26.20681047,-98.31903553,0.9848,0.999,0.9512,0.8297,0.9954,1,19,4040,26.228735,-98.376166
48215024107,4142,9.95,10.85180441,26.26928534,-98.36566769,0.9877,0.8565,0.9332,0.9173,0.9858,1,19,4040,26.228735,-98.376166
48215022104,11977,28.78,31.24689863,26.20841637,-98.05955641,0.9971,0.5713,0.9748,0.5323,0.899,1,20,4042,26.144539,-98.121312
48215021901,8603,20.67,22.44174408,26.21953524,-98.10479904,0.8778,0.9312,0.9141,0.643,0.9165,1,20,4042,26.144539,-98.121312
48215021803,5512,13.24,14.37487623,26.2009689,-98.14671172,0.9862,0.7839,0.9816,0.4276,0.8965,1,20,4042,26.144539,-98.121312
48215021904,4966,11.93,12.95258863,26.19552126,-98.10913501,0.8265,0.7131,0.8388,0.5655,0.7967,1,20,4042,26.144539,-98.121312
48215021804,4632,11.13,12.08401605,26.1936124,-98.15379068,0.7757,0.9981,0.9625,0.9407,0.9873,1,20,4042,26.144539,-98.121312
48113017604,3303,7.94,8.620582875,32.74118683,-96.61755039,0.8674,0.8366,0.7846,0.3125,0.7569,0,20,4042,26.144539,-98.121312
48215022001,13409,32.22,34.98176073,26.16464643,-98.15228721,0.6765,0.6552,0.8864,0.7558,0.7894,1,21,4042,26.144539,-98.121312
48215021805,9567,22.98,24.94974741,26.2143295,-98.14702896,0.963,0.6731,0.9878,0.5212,0.8815,1,21,4042,26.144539,-98.121312
48215022004,9031,21.7,23.56003128,26.15744967,-98.10651557,0.9831,0.6863,0.9206,0.7117,0.924,1,21,4042,26.144539,-98.121312
48215022003,6564,15.77,17.12173702,26.16871566,-98.12508413,0.8954,0.8958,0.7948,0.769,0.9201,1,21,4042,26.144539,-98.121312
48215021903,4926,11.83,12.84401705,26.18499329,-98.1077568,0.7607,0.9734,0.948,0.9682,0.9779,1,21,4042,26.144539,-98.121312
48427950500,4582,11.01,8.878464,26.38146745,-98.81127354,0.9889,0.9224,0.9677,0.9636,0.9956,1,22,4048,26.242813,-98.494493
48479000109,2180,5.24,4.225536,27.47041334,-99.47698235,0.7979,0.716,0.9807,0.5237,0.8082,1,22,4048,26.242813,-98.494493
48355006100,3427,8.23,8.80641525,27.58315833,-97.80393913,0.8092,0.9651,0.6081,0.4247,0.7702,1,23,4051,27.5697,-97.8228
48355006000,2126,5.11,5.467895739,27.64255049,-97.66517093,0.7338,0.732,0.6035,0.3982,0.6434,1,23,4051,27.5697,-97.8228
48029980003,1133,2.72,2.91050419,29.369159,-98.66518859,0.4838,0.0636,0.246,0.0786,0.1477,0,23,4051,27.5697,-97.8228
48249950100,8586,20.63,22.07489023,27.96028109,-98.0474726,0.5343,0.7209,0.4363,0.5887,0.5751,1,24,4051,27.5697,-97.8228
48355005802,7070,16.99,18.1799508,27.86053497,-97.79150895,0.4007,0.4603,0.2932,0.7105,0.4633,0,24,4051,27.5697,-97.8228
48479001714,4915,11.81,12.63715238,27.55445527,-99.43443778,0.5036,0.0513,0.8412,0.4932,0.4459,0,24,4051,27.5697,-97.8228
48273020200,4471,10.74,11.4922114,27.52455486,-97.83850617,0.9585,0.9845,0.7804,0.8398,0.9762,1,24,4051,27.5697,-97.8228
48355005900,3041,7.31,7.82198001,27.70697344,-97.82509474,0.7271,0.9563,0.6285,0.301,0.6905,1,24,4051,27.5697,-97.8228
48479001710,2294,5.51,0.111,27.91331992,-99.44220228,0.6976,0.6861,0.8697,0.6043,0.7477,1,25,4053,26.911014,-97.773774
48029110500,2388,5.74,5.598,29.41733663,-98.50893953,0.9998,0.9954,0.9124,0.5222,0.977,1,26,4054,28.246189,-97.650894
