substation,Pvulnerability,sub_svi
1061,0.753370313,0.62537361
936,0.582116538,0.634272369
350,0.586039133,0.634359006
1104,0,0.6354
1063,0.817826493,0.635937641
1078,0.137480255,0.636155213
1130,0,0.6369
985,0.681984709,0.637766629
1066,0.716380952,0.638038362
1041,0.768117348,0.640279321
963,1,0.640367186
1133,0.525558195,0.640648219
951,0.56626535,0.641320614
1043,0,0.644
1034,0.217053668,0.645784546
274,0.717649829,0.649458966
1089,0.607898449,0.650120983
310,0.363595834,0.651094479
967,0.720133383,0.651701473
1074,0.2317908,0.654633502
282,1,0.6586
1052,0.21894933,0.661455063
1137,0.275152218,0.663909127
760,0.703355402,0.666721122
1127,0.495762029,0.66884392
1065,0.781615098,0.668994723
866,0.616943706,0.671078017
965,0,0.6734
989,0.758321215,0.67748377
939,0.696298901,0.678188338
250,0.524333437,0.680312165
952,1,0.6836
975,0.947273166,0.686424367
955,0.777287385,0.692298546
929,0.423748296,0.693947298
862,0.613131103,0.695917307
1067,1,0.6962
294,1,0.697651763
248,1,0.6978
1076,1,0.697856715
303,1,0.698008373
1031,1,0.7001
1029,0.787572254,0.702693213
1054,1,0.703632353
1033,1,0.705451723
1111,0.649195785,0.7055945
339,1,0.709077128
986,1,0.710776644
900,1,0.7151
909,0.704160665,0.716034986
1006,0.818404551,0.718750968
1040,0.463344012,0.719040593
1140,0.884560523,0.720622675
1096,1,0.721207421
334,1,0.724617107
288,0,0.7266
977,0.708272059,0.728102031
333,0.687245424,0.731449045
924,0.753222919,0.734281397
315,0.937912025,0.738378742
291,1,0.73904982
258,0.610374492,0.740127733
301,0.85262609,0.740677413
264,1,0.740800686
1017,0.834827705,0.745697972
308,0.819523158,0.746372225
1117,0.838218677,0.746699752
272,1,0.7477
925,1,0.749141185
1025,0.863346177,0.752120294
281,0.683491119,0.753047314
323,0.661167346,0.754176431
1138,0.84549593,0.756941523
263,0.814154511,0.759088169
239,0.926678651,0.765682654
299,1,0.768
347,0.757575758,0.771171192
312,0.871269661,0.775172559
932,0.637418655,0.776939653
1024,0.979376433,0.780774746
979,1,0.7809
1112,0.851231757,0.785867084
244,0.506027302,0.789387541
1070,0.851478743,0.791571779
1103,1,0.79449425
1003,1,0.7947
283,0.72295668,0.795625629
276,0.527242246,0.796674602
292,0.892010322,0.802523
959,0.925694838,0.802669158
343,1,0.813529195
969,0.929058772,0.817210182
297,1,0.819831734
249,1,0.822367399
338,1,0.830126603
314,0.901767152,0.832770268
340,1,0.837160447
341,1,0.838849237
1044,1,0.8399
949,1,0.840445382
1109,1,0.841331426
277,1,0.843942935
923,0.951507333,0.847716105
1099,1,0.855558557
353,1,0.85620919
1050,0.905114278,0.858663806
1008,1,0.863627118
302,1,0.866883536
278,1,0.8692
942,1,0.8719
1115,1,0.88
236,1,0.881742988
266,0.959958783,0.883050041
265,0.882500464,0.885181743
295,1,0.896846523
298,1,0.897524693
287,1,0.898
251,1,0.901873536
359,1,0.909
972,1,0.912982474
313,0.808060307,0.916082314
255,1,0.923838983
260,1,0.9261
269,1,0.935184147
1007,1,0.9386
285,1,0.943534701
331,1,0.943840303
243,1,0.950265012
330,1,0.956311588
279,1,0.961641118
1037,1,0.9627
1056,1,0.9691
1020,1,0.9743
992,1,0.9766
273,1,0.977
289,1,0.9789
309,1,0.9923
910,1,0.995
290,1,0.9996
